datetime,open,high,low,close,volume
2022-05-28 09:00:00+00:00,17.0,30.0,5.0,7.0,2385.53
2022-05-28 10:00:00+00:00,7.0,14.5,6.0,8.4,105990.91
2022-05-28 11:00:00+00:00,8.4,9.45,4.86,6.96,176216.72
2022-05-28 12:00:00+00:00,6.96,7.21,6.317,6.749,134896.03
2022-05-28 13:00:00+00:00,6.749,6.75,5.147,5.4,192370.01
2022-05-28 14:00:00+00:00,5.4,5.692,4.06,4.627,128067.58
2022-05-28 15:00:00+00:00,4.627,6.979,4.01,6.544,157327.29
2022-05-28 16:00:00+00:00,6.544,8.814,5.257,5.588,110797.46
2022-05-28 17:00:00+00:00,5.588,6.971,5.06,6.058,76070.78
2022-05-28 18:00:00+00:00,6.058,6.3,5.189,5.759,103313.73
2022-05-28 19:00:00+00:00,5.759,5.91,5.45,5.526,43096.56
2022-05-28 20:00:00+00:00,5.526,5.54,4.99,5.0,47004.55
2022-05-28 21:00:00+00:00,5.0,5.3,4.825,4.999,36596.0
2022-05-28 22:00:00+00:00,4.999,5.606,4.93,5.4,30218.24
2022-05-28 23:00:00+00:00,5.4,5.588,4.969,5.103,30196.65
2022-05-29 00:00:00+00:00,5.103,5.364,4.994,5.195,31320.04
2022-05-29 01:00:00+00:00,5.195,5.3,5.03,5.116,13788.59
2022-05-29 02:00:00+00:00,5.116,5.19,4.93,4.983,17492.87
2022-05-29 03:00:00+00:00,4.983,5.245,4.983,5.233,15943.64
2022-05-29 04:00:00+00:00,5.233,6.003,5.151,5.692,57528.71
2022-05-29 05:00:00+00:00,5.692,6.906,5.593,6.906,38103.09
2022-05-29 06:00:00+00:00,6.906,7.24,6.338,6.913,38660.33
2022-05-29 07:00:00+00:00,6.913,7.021,6.477,6.692,38462.81
2022-05-29 08:00:00+00:00,6.692,6.853,6.229,6.328,21863.13
2022-05-29 09:00:00+00:00,6.328,6.605,6.124,6.441,25867.36
2022-05-29 10:00:00+00:00,6.441,6.604,6.173,6.232,16643.76
2022-05-29 11:00:00+00:00,6.232,6.254,5.993,6.185,14770.99
2022-05-29 12:00:00+00:00,6.185,6.228,5.877,5.907,25705.8
2022-05-29 13:00:00+00:00,5.907,6.013,5.648,5.756,28588.92
2022-05-29 14:00:00+00:00,5.756,6.01,5.751,5.923,15532.4
2022-05-29 15:00:00+00:00,5.923,5.981,5.795,5.9,20696.34
2022-05-29 16:00:00+00:00,5.9,6.044,5.765,6.031,39656.68
2022-05-29 17:00:00+00:00,6.031,6.182,5.985,6.042,27601.62
2022-05-29 18:00:00+00:00,6.042,6.078,5.855,5.969,24526.45
2022-05-29 19:00:00+00:00,5.969,5.977,5.674,5.681,21119.37
2022-05-29 20:00:00+00:00,5.681,5.793,5.331,5.63,35021.54
2022-05-29 21:00:00+00:00,5.63,5.87,5.525,5.832,25510.84
2022-05-29 22:00:00+00:00,5.832,5.928,5.686,5.879,19818.99
2022-05-29 23:00:00+00:00,5.879,6.061,5.863,6.061,20814.12
2022-05-30 00:00:00+00:00,6.061,6.061,5.84,5.913,6000.26
2022-05-30 01:00:00+00:00,5.913,5.953,5.762,5.926,6810.64
2022-05-30 02:00:00+00:00,5.926,6.037,5.818,5.951,9558.9
2022-05-30 03:00:00+00:00,5.951,6.023,5.797,5.797,12246.79
2022-05-30 04:00:00+00:00,5.797,5.892,5.636,5.821,23015.59
2022-05-30 05:00:00+00:00,5.821,6.089,5.746,6.061,50573.52
2022-05-30 06:00:00+00:00,6.061,6.48,6.056,6.424,28508.82
2022-05-30 07:00:00+00:00,6.424,6.484,6.176,6.268,19012.04
2022-05-30 08:00:00+00:00,6.268,6.351,5.928,6.041,28941.45
2022-05-30 09:00:00+00:00,6.041,6.277,5.94,6.148,40188.58
2022-05-30 10:00:00+00:00,6.148,6.5,6.002,6.5,36906.98
2022-05-30 11:00:00+00:00,6.5,6.949,6.459,6.578,50852.3
2022-05-30 12:00:00+00:00,6.578,6.73,6.473,6.65,39288.49
2022-05-30 13:00:00+00:00,6.65,6.679,6.321,6.509,46547.92
2022-05-30 14:00:00+00:00,6.509,6.657,6.442,6.638,24309.4
2022-05-30 15:00:00+00:00,6.638,7.047,6.537,6.935,37130.13
2022-05-30 16:00:00+00:00,6.935,9.469,6.935,8.852,323239.82
2022-05-30 17:00:00+00:00,8.852,10.03,8.325,8.904,312539.69
2022-05-30 18:00:00+00:00,8.904,9.961,8.713,8.956,153214.65
2022-05-30 19:00:00+00:00,8.956,9.576,8.674,9.173,127077.59
2022-05-30 20:00:00+00:00,9.173,9.971,9.143,9.971,116353.82
2022-05-30 21:00:00+00:00,9.971,12.47,9.923,11.28,348725.74
2022-05-30 22:00:00+00:00,11.28,11.49,10.46,11.18,119996.56
2022-05-30 23:00:00+00:00,11.18,11.26,10.39,10.88,113180.55
2022-05-31 00:00:00+00:00,10.88,11.25,9.06,9.499,108540.9
2022-05-31 01:00:00+00:00,9.499,9.918,9.302,9.765,60498.87
2022-05-31 02:00:00+00:00,9.765,10.59,9.498,10.27,83334.89
2022-05-31 03:00:00+00:00,10.27,10.29,8.892,8.989,80189.29
2022-05-31 04:00:00+00:00,8.989,9.363,8.493,9.069,101473.99
2022-05-31 05:00:00+00:00,9.069,9.221,8.051,8.263,121130.26
2022-05-31 06:00:00+00:00,8.263,9.805,8.234,8.553,133084.86
2022-05-31 07:00:00+00:00,8.553,8.703,8.306,8.588,25770.56
2022-05-31 08:00:00+00:00,8.588,8.999,8.483,8.531,49535.62
2022-05-31 09:00:00+00:00,8.531,8.693,8.392,8.583,31768.08
2022-05-31 10:00:00+00:00,8.583,9.482,8.452,9.441,48857.24
2022-05-31 11:00:00+00:00,9.441,11.37,9.36,9.875,169806.97
2022-05-31 12:00:00+00:00,9.875,9.996,9.211,9.277,57549.95
2022-05-31 13:00:00+00:00,9.277,9.829,8.751,8.864,49186.32
2022-05-31 14:00:00+00:00,8.864,9.301,8.582,9.113,94043.71
2022-05-31 15:00:00+00:00,9.113,9.432,8.76,9.261,27805.54
2022-05-31 16:00:00+00:00,9.261,9.777,9.148,9.382,47694.72
2022-05-31 17:00:00+00:00,9.382,9.493,9.033,9.281,24463.47
2022-05-31 18:00:00+00:00,9.281,9.361,8.744,8.793,27016.58
2022-05-31 19:00:00+00:00,8.793,8.824,8.502,8.652,33612.7
2022-05-31 20:00:00+00:00,8.652,8.756,8.228,8.343,39471.01
2022-05-31 21:00:00+00:00,8.343,8.57,8.284,8.286,19873.38
2022-05-31 22:00:00+00:00,8.286,9.074,8.201,8.794,38502.24
2022-05-31 23:00:00+00:00,8.794,9.191,8.625,8.78,37297.14
2022-06-01 00:00:00+00:00,8.78,8.936,8.49,8.557,29420.57
